replay_idx,beatmap_name,mod_str,nm_stars,neg_loglik_FC,neg_loglik_SS_given_FC
958,The Cab - Angel With A Shotgun (Sped Up Ver.) [Akitoshi's Expert],HDDT,4.653921296,4.689479234,10.85686987
29,ClariS - SHIORI -TV size mix- [Habi's Extra],NM,5.163784236,4.687377757,13.75956611
469,STAYC - STEREOTYPE [Hard],HDDT,3.256869412,4.681407097,16.01017808
587,MIMI feat. Hatsune Miku - Marshmary [Horizon],NM,5.491229107,4.668823399,12.84096715
642,EDOGA-SULLIVAN - WONDERFUL WONDER (TV Size) [WONDROUS],HDDT,4.68571824,4.647551576,9.129345175
177,ZUN - Dark Side of Fate [Lunatic],NM,4.784486675,4.639431602,44.42381731
909,ZUN - Judgement in the Sixtieth Year ~ Fate of Sixty Years [Insane],HDDT,3.373159069,4.631965592,28.8418839
965,Yamajet feat. Hiura Masako - Sunglow (Cut Ver.) [Kowari's Extreme],HDDT,6.020871572,4.588528977,17.58413315
427,Sawamura Spencer Eriri (CV.Oonishi Saori) - Blooming Lily [Insane],DT,4.013102444,4.577347674,20.3477377
492,"Getter Jaani - Rockefeller Street (Nightcore Mix) [1-2, 7 3.]",DT,5.466533661,4.52820815,24.83138328
620,sweet ARMS - I swear (TV Size) [Yasai's Extra],NM,5.352418513,4.508182036,15.97155179
604,TrySail - Utsuroi (Short Ver.) [mnyui's Extra],NM,5.279954856,4.49673798,6.957304857
467,yanaginagi x THE SIXTH LIE - LEVEL (TV Size) [Expert],NM,4.916578728,4.490540544,21.86505382
299,MIMI feat. Hatsune Miku - Marshmary [Insane],HDDT,4.541266365,4.489364095,10.086565
930,Seishun Buta Yarou Cast - Fukashigi no Karte [Uyamuya],NM,3.612963046,4.481266997,17.65004041
736,Nashimoto Ui - AaAaAaAAaAaAAa [SMOKELIND's InSaNE],HDDT,4.365434275,4.479693669,11.12551981
936,supercell - Kimi no Shiranai Monogatari [Our Story in the Stars],DT,5.454034408,4.473331604,33.28053331
652,Feint - Tower Of Heaven (You Are Slaves) [Another],NM,4.392075877,4.47073591,48.36472602
521,HO-KAGO TEA TIME - Kira Kira Days (Cut Ver.) [Reform's Expert],NM,5.452532018,4.421424001,10.49673041
925,Icon For Hire - Make a Move (Speed Up Ver.) [Lami's Extra],NM,5.870890551,4.404057793,6.349803414
254,Hommarju feat. Latte - masterpiece [Insane],HR,4.687747322,4.403091767,25.68317011
656,Bad Bunny x Mora - Una Vez (Cut Ver.) [PKHG'S HARD],NM,3.288630203,4.366308922,20.11889529
747,Ricky Montgomery - Cabo [Hard],NM,3.021475372,4.357084531,22.6972185
851,Kidd Tetoon feat. Diego Smith - Illuminati (Cut Ver.) [Secreto],NM,5.028900127,4.342566496,16.90492548
956,Mago de Oz - Bajo mi piel [Broken Faith],HDDT,4.408352478,4.342429571,35.10668124
389,LilDeuceDeuce - EVERYBODY DO THE FLOP (Cut Ver.) [Aakki's Hard],DT,3.659386751,4.31208151,12.19644236
54,MIMI feat. Hatsune Miku - Marshmary [Horizon],HD,5.491229107,4.309349269,12.0457511
980,kis-kis - ne uchi (Cut Ver.) [Reform's Expert],NM,5.444426882,4.293092727,8.069303395
286,Starset - My Demons [Insane],NM,4.496890779,4.251873785,19.896233
927,GHOSTEMANE - Mercury: Retrograde [Kalindraz's Insane],NM,4.458197193,4.220708147,18.95670682
392,9mm Parabellum Bullet - Inferno [Agonizing Insane],NM,4.662439042,4.189729084,26.2913968
794,ClariS - Hitorigoto -TV MIX- [Xxdeathx's Insane],NM,4.94273125,4.167691474,13.21166056
591,Fujijo Seitokai Shikkou-bu - Best FriendS -TV Size- [Fycho's Insane],NM,4.899453178,4.159257381,17.29744105
