beatmap_name,mods,stars_live,neg_loglik_SS
Imperial Circus Dead Decadence - Danzai No Honoo To Koibito-Tachi No Rondo [Piercing Pain],NM,5.440268915841186,35.70709951915176
Falcom Sound Team J.D.K. - baresuta intachi(Remix) [Extra AR10],NM,6.83688405926884,35.69014246305062
penoreri - Preserved Valkyria [Arles],NM,8.455072693948164,35.63440372435689
Yousei Teikoku - Hades: The rise [Hardest],NM,7.003346837815217,35.51762980627312
Yuyoyuppe - AiAe [Another],NM,4.705918788838024,35.500801281109126
THE ORAL CIGARETTES - ReI [Mir's Extra],NM,6.135169914466751,35.33334625356892
TUYU - Namikare [Withering Tears],NM,6.976028127384328,35.28445131945933
Linkin Park - Breaking The Habit [turbo kolab],NM,7.643965385720611,35.27682063548042
Angerfist - Knock Knock [I am the danger],NM,5.836235819770345,35.0679770491164
DimierLisb - Antiqua Doll [Psychoderia],NM,7.456298104621407,35.037732325555986
Eve - Gekka*Midare Botan [Meg&Roll_Pan's E-Xtra],NM,6.891694811670412,35.0370050186836
SMETANA Band - Ya Govnar' [Extreme],NM,7.288343682528585,34.90579097956594
OISHII - ONIGIRI FREEWAY [EXTREME RICE],NM,7.075432298525771,34.78794558562009
Renard - Dash Hopes 3 [300 BPM Madness!],NM,7.446936917891108,34.725268523392174
shikata akiko - Katayoku no tori [Arles],NF,8.560100840733394,34.72523622006024
Demetori - Hartmann no Youkai Shoujo ~ Todestrieb und Lebenstrieb [Extra Stage],NM,6.288398736873626,34.71481938475379
9mm Parabellum Bullet - Inferno [Tragic Death Extra],NM,6.14373789849969,34.6998268102574
Imperial Circus Dead Decadence - Shinbatsu o Tadori Kyoukotsu ni Itaru [Extreme],NM,6.4790831839613565,34.64572115970147
Yooh - snow storm -euphoria- [INFINITE],NM,5.3720659580351535,34.636394828660045
UROBOROS - Black Swallowtail (TV Size) [Flezlin's Extra],NM,6.290803137541907,34.61635479021714
LADYBABY - Nippon Manju [TheMefisto's Insane],HD,4.963502390873661,34.598540573658994
Sunless Rise - Awakening [Untruth],NM,7.132570969348935,34.580831558725706
Imagine Dragons - Warriors [1000lp challenger],HDNF,8.323390051890769,34.49635279642812
Aether Realm - The Fool [Shadow of the Light],NM,6.901760936538846,34.454857139305524
MYTH & ROID - Paradisus-Paradoxum [Curi's Extreme],NM,6.218864688689084,34.34407631467553
Tatsh - Xevel [Extra],NM,5.381875350044293,34.33683908889677
lapix - Carry Me Away (Extended Mix) [Bright Lights],NM,6.50573646851881,34.29718492206615
t+pazolite - CENSORED!! [XXX!!!],NM,7.420015133390476,34.2938286370315
Shimotsuki Haruka - Youka to Yumeutsutsu [Awaken AR10],NM,8.015816277415386,34.17290314939036
Foreground Eclipse - Song's Compilation [Flames Within These Black Feathers],NF,6.7562334988081725,34.17009021452097
Tatsh - Xevel [Extra],HD,5.381875350044293,34.11990185810505
DECO*27 - Ghost Rule [No One But CRN !!],NM,8.010053647024229,34.07544609067432
Kishida Kyoudan & The Akeboshi Rockets - HIGHSCHOOL OF THE DEAD (Speed Up Ver.) [Eternity],NM,8.13605416124452,34.012341276056254
"Hoshimachi Suisei - GHOST [I will keep Singing in the Dark, just for ''You''.]",NM,6.527789328469551,33.99278511202523
Emiru no Aishita Tsukiyo ni Dai San Gensou Kyoku wo - ito [Petal],NM,6.772517000714799,33.938959556699686
DJ TOTTO feat. *spiLa* - illumina [expert*],NM,5.2719494823134605,33.839215649197854
Kabocha - EmbryO [Heilia's Ultra],NM,7.509545590336513,33.697645421399315
Sota Fujimori - polygon [Incrementally Hi-Speed Extreme],NM,6.716143249232461,33.646019898383436
Fractal Dreamers - Gardens Under A Spring Sky [Hyper],HD,4.67013488967702,33.55148968771684
Various Artists - 220bpm pack [Mynarco Addiction],NM,7.050281463418518,33.51282813962231
THE ORAL CIGARETTES - ReI [Rain],NM,6.399174135950932,33.36399224992938
Yousei Teikoku - still alive [yami],NM,5.168502010387958,33.16891791805002
Hoshimachi Suisei - Ranbu no Melody (Cut Ver.) [Mugetsu],NM,6.209543837634791,33.104280864333546
Hanatan - Airman ga Taosenai (SOUND HOLIC Ver.) [Insane],HD,4.893240825790535,33.069683204480455
Mimomo & Kotomugi - Invisible [HLW's Runpappa],NM,5.612910579034445,33.050858853560385
Jakarta Funk Brothers - INSOMNIA [hehe's C11H15NO2],NM,5.870751474167824,32.93953264993726
DJ Okawari - Flower Dance (Short Ver.) [Dance],NM,6.01327390016996,32.90143344500719
Mia REGINA - My Sweet Maiden [Lust],NM,6.261554292516049,32.8451045802
