replay_idx,beatmap_name,mod_str,nm_stars,num_objects,neg_loglik_SS,neg_loglik_S,neg_loglik_FC
273,technoplanet - Juvenile [Insane],NM,4.675072571327862,494,43.34269241982631,9.006057122561957,5.949767550770668
274,Serenity - Lionheart [Extreme],HD,6.442489525638989,1474,175.1790105306192,42.55764369126234,28.886213265460103
275,Fellowship - Glory Days [Maki's Extra],HR,5.634340759739844,1667,185.62569447611276,36.66140783384326,22.01209919712625
276,Kicco - Amazing sky [Momoka's Insane],HDDT,4.107455782800976,381,24.773699722542904,6.627781700588232,5.404750349930971
277,Omoi - Snow Drive(01.23) [NiNo's Expert],NM,6.621448661951399,1285,129.12113067427447,51.402846238876585,43.24889796942217
278,u's - Korekara no Someday [Guy's Extra],HD,5.497953431270236,439,31.812977298860147,13.401261466922282,11.988745431088276
279,Himeringo - Idola no Circus [Reform's Insane],HDDT,4.4821495209537865,391,25.51149887773915,7.321910074953587,6.076229903721614
280,DJ'TEKINA//SOMETHING - Internet bitch P*Light Remix [N/A Reboot],NM,5.9325632654870954,1119,88.3693414474371,25.246581473737546,19.75284709176484
281,lydian - Promise [distance-snap],EZ,4.033724270914853,281,41.20742374975585,16.929963841703675,14.633028905650324
282,Ne Obliviscaris - Libera [Lachesismic Armageddon],NM,8.139245487437817,5662,1221.5439248562493,346.9630956823562,205.44915669903247
283,MIMI feat. Hatsune Miku - Ai no Sukima [Radiance],DTNF,5.794779356941696,226,19.98287191282826,8.74065631569417,8.18879346123179
284,Demetori - Hartmann no Youkai Shoujo ~ Todestrieb und Lebenstrieb [Extra Stage],NM,6.288398736873626,1415,196.16644591421314,58.654574760005254,40.54346544382608
285,EVO+ - [A]ddiction [117's Insane],NM,4.1539939262164705,632,52.97422681373711,10.41933591985309,7.375054056045414
286,Starset - My Demons [Insane],NM,4.49689077948158,662,28.497129927407396,7.80127845349071,6.8923709044059995
287,lapix - Carry Me Away (Extended Mix) [Bright Lights],NM,6.50573646851881,1671,250.16531601688922,88.03491366631792,70.18245926715124
288,Akatsuki Records - KARMANATIONS [Reincarnation],NM,6.08917689331073,1055,87.9584285418037,28.71115240310327,24.77030535781074
289,Rita - Panorama Blue [Hard],HDDT,3.1129773230555697,229,11.254090645137522,3.042683163911351,2.6128687903887142
291,Street - Dimension Ninja [Tech + Finger Control],HD,6.057313062261756,327,49.06568994006448,23.03596400368724,19.9982702599082
292,isoganakya - isogu (Stream Practice Maps) [300BPM],NM,7.451978653809009,312,153.07355530176835,50.661420518975916,17.444486158229875
293,Yooh - snow storm -euphoria- [EXHAUST],NM,4.796489524198316,488,41.92244719276092,8.466236865948641,5.1710087413238
294,Lana Del Rey - Dark Paradise [A Bitter Melody],NM,4.476755994896283,878,84.2272988741122,18.73067947658825,12.588974569382163
295,Elmo and Cookie Monster - Cookie-Butter-Choco-Cookie [Linada's Insane],NC,3.8446519756930995,116,8.490454077155993,1.5849302813034085,1.2495888060532419
296,CHiCO with HoneyWorks - Kessen Spirit (TV Size) [Sotarks' Revolution],NM,6.22377601735035,406,30.014892677142957,8.257568116629937,6.902891472959502
297,"MY FIRST STORY feat. chelly (EGOIST) - 1,000,000 TIMES [AGAIN AND AGAIN]",NM,6.1940006089041955,1550,147.1228052051556,47.9806764054662,39.59588616968466
298,Bentham - Chicago [Re: Wonder],NM,6.035929130394807,875,85.51790210775401,29.763053142666283,26.08245819569176
299,MIMI feat. Hatsune Miku - Marshmary [Insane],HDDT,4.541266364542737,266,14.606849259415418,4.928230990641475,4.5202851754937035
300,Niji No Conquistador - zutto summer de koishiteru [Ultra],NM,7.196046655601705,1276,109.40346348939612,49.52662374635599,45.7230254312805
301,Nakanoke no Itsutsugo - Gotoubun no Kiseki (Movie Size) [Insane],HD,3.4556554146107796,231,12.710936867577706,2.5485280462971645,1.9425693870558942
302,Araki - Teo [Sotarks' Insane],NM,4.564661314419329,760,44.80355422054569,12.2116849846942,9.623223118814764
303,YUI - Rolling star [Insane],HDDT,4.199617687421179,699,39.203370379654494,10.46973506978119,8.38301651606944
304,Pet na Kanojotachi - Kimi ga Yume wo Tsuretekita (TV Size) [Insane],HDNC,3.153470154653492,249,13.49475075052249,2.2217010493989413,1.5795948006475522
