beatmap_name,mods,stars,pp_SS
Rings of Saturn - Senseless Massacre [Daiyousei's Extra],NF,6.428424909612308,42.23505905857789
Various Artists - Jump Training Collection #4 [Level 5 - Psycho],NM,7.659137085786016,31.559319193076497
"Poppin'Party - Initial [Even now, I'm searching for you.]",HD,6.622020379828697,27.141764185578147
RIOT - Overkill [Start operation],NM,5.666723647927007,30.391999516018807
ShinRa-Bansho - Muishiki Requiem [lu^3's Extra],NM,5.983236339305602,32.532271952846166
Chroma - Still Believe [Final Hope],NM,6.419061448749926,34.40330280118807
Serenity - Lionheart [Expert],NM,5.709619029031604,51.261969692533626
Team Nekokan - Can't Defeat Airman [Holy Shit! It's Airman!!],NM,7.028291067000708,35.862313112322184
PORNOFIL'MY - Kto Vse Eti Lyudi? [Daycore's Independence?],NM,6.060652599837366,32.47060713719838
Natsu - Regression [Pure Culmination],NM,6.295486180788746,37.65555201417475
inabakumori - Lost Umbrella [Jounzan's PTSD Extra],NM,5.870945233631288,31.21554795504177
SOUND HOLIC Vs. T.Kakuta feat. YURiCa - TOXIC VIBRATION (extend ver.) [WARNING?],NM,6.935541011816427,41.288182394223824
Station Earth - Cold Green Eyes ft. Roos Denayer [Divine],NM,5.134487005171375,24.871403084753215
Remo Prototype[CV: Hanamori Yumiri] - Sendan Life [Crystal's Garakowa],NM,6.191417512295748,27.205559174170503
Atsushi - Kessen [Ultra],NM,6.319850134917686,29.504736627787484
Srav3R - Funk Vibes [FUNKY],NM,6.335094375289893,25.314864152071287
gmtn. (witch's slave) - Daraku no Sono [LXH Cat's Hard],HDHRSD,3.3538176458015045,20.913795418671935
Diao Ye Zong feat. Meramipop - Saifu 'Kamiasobi no Uta' [Distant Dream],HDNFV2,4.652071215599438,28.41976129062796
Yuyoyuppe - Palette GAMMA [Visions],NM,7.54041663993006,53.43125782111588
yuikonnu - Ghost Rule [Classic Extra],NM,6.67361878318918,35.49494158427567
THE ORAL CIGARETTES - Mou Ii kai? [NiVo's Extra],HDNC,5.837338829344761,42.42359636439149
bibuko - Reizouko Mitara Pudding ga Nai [Alphabet's Extra],NM,5.534150148433003,36.854475104363175
Tatsh - Xevel [-Tynamo's Insane],DT,4.650197406767209,31.529548882139647
XX:me - Escape [Freedom],NM,6.282885220983353,26.314601015636633
gmtn. (witch's slave) - Illegal Paradise (Grimoire rmx) [Insane],HDHR,4.877951861037113,31.826889231404856
Hanatan - Kotoba Tsunagi [Sakura],HD,4.624231483345601,25.665818135145358
Roselia - Six Trillion Years and Overnight Story [Future],NM,6.3378551766246645,37.83928288361227
Loki - Wizard's Tower [Ultimate Magic],NM,6.284486193426295,22.669051888843555
Serenity - Lionheart [Extreme],NM,6.442489525638989,52.18207288293141
nameless - Milk Crown on Sonnetica [MiLk ShAke 9*],NM,8.997230587191112,31.893947694556502
Wolpis Kater - Kuusou Ressha [Expert],HDHRNF,6.0445558914011865,37.1094754584914
Afilia Saga - Neptune*Sagashite [Insane],HDDT,4.024137900123353,28.43248979474079
Mandragora - Galactic Symphony [Cosmic Orchestration],NM,6.338796910627288,41.07678749318944
Seishun Buta Yarou Cast - Fukashigi no Karte [Uyamuya],NM,3.612963046116041,16.33892993351744
Vickeblanka - Black Rover (TV Size) [Extra],DTNF,6.347328215084255,25.66403271951448
Vickeblanka - Black Rover (TV Size) [Extreme],NM,7.002059015533613,26.54148753584355
Umeboshi Chazuke - Wakare no Namida wa Mata Au Hi made [Zizou's Extra],NM,6.4264107784733735,36.29461474417947
ONE OK ROCK - One by One [Sotarks' Rampage],HRNF,6.455847472967109,25.619318881645874
ryu5150 - Louder than steel [Stainless Heart],HD,7.104652497222707,51.41232223702784
Digital Sexy - Til Death (Nightcore Mix) [Reform's Insane],DT,4.374410296332707,22.26665741784246
Primary - Sweets Weekend [Insane],HDNC,4.208114783949574,24.90253280520719
RADWIMPS - Hikari [Ipas' Expert],NM,5.142103964272067,27.50690673800552
Pokapoka Ion - Yajirushi-> (TV Size) [zhui's Insane],NM,4.837324413146196,29.217483952331502
ClariS - Hitorigoto -TV MIX- [Kencho's Insane],DTHR,4.796198932540722,27.60383323886314
